[0.065s] Invoking command in '/home/arcturus/Documents/AllSeaingVehicle2/build/velodyne_pointcloud': AMENT_PREFIX_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs:/opt/ros/humble LD_LIBRARY_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib:/usr/local/cuda-11.4/lib64:/usr/local/cuda-11.4/lib64:/usr/local/cuda-11.4/lib64 PYTHONPATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs/local/lib/python3.10/dist-packages:${PYTHONPATH} /usr/bin/cmake --build /home/arcturus/Documents/AllSeaingVehicle2/build/velodyne_pointcloud -- -j4 -l4
[0.269s] [35m[1mConsolidate compiler generated dependencies of target gtest_main[0m
[0.275s] [35m[1mConsolidate compiler generated dependencies of target velodyne_cloud_types[0m
[0.320s] [35m[1mConsolidate compiler generated dependencies of target velodyne_rawdata[0m
[0.381s] [ 11%] Built target gtest_main
[0.442s] [ 27%] Built target velodyne_cloud_types
[0.444s] [35m[1mConsolidate compiler generated dependencies of target gtest[0m
[0.473s] [ 44%] Built target velodyne_rawdata
[0.522s] [35m[1mConsolidate compiler generated dependencies of target transform[0m
[0.530s] [ 55%] Built target gtest
[0.589s] [35m[1mConsolidate compiler generated dependencies of target test_calibration[0m
[0.643s] [35m[1mConsolidate compiler generated dependencies of target test_row_step[0m
[0.662s] [ 66%] Built target transform
[0.676s] [ 77%] Built target test_calibration
[0.717s] [35m[1mConsolidate compiler generated dependencies of target velodyne_transform_node[0m
[0.764s] [ 88%] Built target test_row_step
[0.841s] [100%] Built target velodyne_transform_node
[0.883s] Invoked command in '/home/arcturus/Documents/AllSeaingVehicle2/build/velodyne_pointcloud' returned '0': AMENT_PREFIX_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs:/opt/ros/humble LD_LIBRARY_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib:/usr/local/cuda-11.4/lib64:/usr/local/cuda-11.4/lib64:/usr/local/cuda-11.4/lib64 PYTHONPATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs/local/lib/python3.10/dist-packages:${PYTHONPATH} /usr/bin/cmake --build /home/arcturus/Documents/AllSeaingVehicle2/build/velodyne_pointcloud -- -j4 -l4
[1.023s] Invoking command in '/home/arcturus/Documents/AllSeaingVehicle2/build/velodyne_pointcloud': AMENT_PREFIX_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs:${AMENT_PREFIX_PATH} CMAKE_PREFIX_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs:/opt/ros/humble LD_LIBRARY_PATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/aarch64-linux-gnu:/opt/ros/humble/lib:/usr/local/cuda-11.4/lib64:/usr/local/cuda-11.4/lib64:/usr/local/cuda-11.4/lib64 PYTHONPATH=/home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_msgs/local/lib/python3.10/dist-packages:${PYTHONPATH} /usr/bin/cmake --install /home/arcturus/Documents/AllSeaingVehicle2/build/velodyne_pointcloud
[1.055s] -- Install configuration: ""
[1.056s] -- Execute custom install script
[1.058s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/lib/libvelodyne_cloud_types.so
[1.090s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/lib/libvelodyne_rawdata.so
[1.122s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/lib/libtransform.so
[1.155s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/lib/velodyne_pointcloud/velodyne_transform_node
[1.189s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/include/velodyne_pointcloud/calibration.hpp
[1.222s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/include/velodyne_pointcloud/datacontainerbase.hpp
[1.254s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/include/velodyne_pointcloud/organized_cloudXYZIRT.hpp
[1.286s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/include/velodyne_pointcloud/pointcloudXYZIRT.hpp
[1.318s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/include/velodyne_pointcloud/rawdata.hpp
[1.349s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/include/velodyne_pointcloud/transform.hpp
[1.382s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/config/VLP16-velodyne_transform_node-params.yaml
[1.415s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/config/VLP32C-velodyne_transform_node-params.yaml
[1.446s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/config/VLS128-velodyne_transform_node-params.yaml
[1.480s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/launch/velodyne_transform_node-VLP16-composed-launch.py
[1.511s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/launch/velodyne_transform_node-VLP16-launch.py
[1.718s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/launch/velodyne_transform_node-VLP32C-composed-launch.py
[1.752s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/launch/velodyne_transform_node-VLP32C-launch.py
[1.784s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/launch/velodyne_transform_node-VLS128-composed-launch.py
[1.816s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/launch/velodyne_transform_node-VLS128-launch.py
[1.859s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/params/32db.yaml
[1.891s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/params/64e_s2.1-sztaki.yaml
[1.923s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/params/64e_s3-xiesc.yaml
[1.957s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/params/64e_utexas.yaml
[1.989s] -- Symlinking: /home/arcturus/Documents/AllSeaingVehicle2/install/velodyne_pointcloud/share/velodyne_pointcloud/params/VLP16_hires_db.yaml
